512 	 448 	 -0.313 	 1.048 
576 	 448 	 -0.484 	 0.680 
640 	 448 	 -0.468 	 0.243 
704 	 448 	 -0.572 	 -0.056 
768 	 448 	 -0.738 	 -0.553 
832 	 448 	 -0.935 	 -0.949 
896 	 448 	 -1.037 	 -1.301 

128 	 512 	 0.782 	 3.365 
192 	 512 	 0.668 	 2.953 
256 	 512 	 0.442 	 2.629 
320 	 512 	 0.305 	 2.205 
384 	 512 	 0.215 	 1.802 
448 	 512 	 0.097 	 1.381 
512 	 512 	 0.118 	 0.965 
576 	 512 	 0.061 	 0.463 
640 	 512 	 -0.203 	 0.064 
704 	 512 	 -0.295 	 -0.308 
768 	 512 	 -0.345 	 -0.741 
832 	 512 	 -0.549 	 -1.086 
896 	 512 	 -0.735 	 -1.536 

128 	 576 	 1.059 	 3.169 
192 	 576 	 1.080 	 2.759 
256 	 576 	 0.869 	 2.294 
320 	 576 	 0.695 	 1.894 
384 	 576 	 0.582 	 1.546 
448 	 576 	 0.326 	 1.150 
512 	 576 	 0.427 	 0.756 
576 	 576 	 0.385 	 0.264 
640 	 576 	 0.054 	 -0.063 
704 	 576 	 -0.103 	 -0.475 
768 	 576 	 -0.013 	 -0.947 
832 	 576 	 -0.107 	 -1.327 
896 	 576 	 -0.254 	 -1.742 

128 	 640 	 1.517 	 2.942 
192 	 640 	 1.472 	 2.604 
256 	 640 	 1.245 	 2.080 
320 	 640 	 1.013 	 1.695 
384 	 640 	 0.897 	 1.255 
448 	 640 	 0.855 	 0.817 
512 	 640 	 0.875 	 0.354 
576 	 640 	 0.792 	 0.037 
640 	 640 	 0.450 	 -0.259 
704 	 640 	 0.324 	 -0.727 
768 	 640 	 0.315 	 -1.092 
832 	 640 	 0.290 	 -1.609 
896 	 640 	 0.191 	 -2.023 

128 	 704 	 1.886 	 2.711 
192 	 704 	 1.794 	 2.313 
256 	 704 	 1.705 	 1.959 
320 	 704 	 1.390 	 1.537 
384 	 704 	 1.201 	 1.099 
448 	 704 	 1.199 	 0.670 
512 	 704 	 1.142 	 0.252 
576 	 704 	 1.005 	 -0.117 
640 	 704 	 0.892 	 -0.580 
704 	 704 	 0.750 	 -1.049 
768 	 704 	 0.732 	 -1.415 
832 	 704 	 0.649 	 -1.838 
896 	 704 	 0.516 	 -2.221 

128 	 768 	 2.135 	 2.497 
192 	 768 	 1.997 	 2.013 
256 	 768 	 1.932 	 1.613 
320 	 768 	 1.827 	 1.154 
384 	 768 	 1.642 	 0.807 
448 	 768 	 1.641 	 0.410 
512 	 768 	 1.479 	 0.018 
576 	 768 	 1.349 	 -0.417 
640 	 768 	 1.331 	 -0.819 
704 	 768 	 1.146 	 -1.236 
768 	 768 	 1.057 	 -1.716 
832 	 768 	 1.051 	 -2.012 
896 	 768 	 0.871 	 -2.433 

128 	 832 	 2.481 	 2.308 
192 	 832 	 2.422 	 1.792 
256 	 832 	 2.235 	 1.321 
320 	 832 	 2.174 	 0.946 
384 	 832 	 2.064 	 0.589 
448 	 832 	 1.995 	 0.130 
512 	 832 	 1.906 	 -0.211 
576 	 832 	 1.817 	 -0.583 
640 	 832 	 1.601 	 -0.970 
704 	 832 	 1.337 	 -1.423 
768 	 832 	 1.275 	 -1.877 
832 	 832 	 1.385 	 -2.266 
896 	 832 	 1.211 	 -2.681 

128 	 896 	 2.913 	 2.031 
192 	 896 	 2.841 	 1.629 
256 	 896 	 2.582 	 1.319 
320 	 896 	 2.570 	 0.886 
384 	 896 	 2.415 	 0.296 
448 	 896 	 2.244 	 -0.093 
512 	 896 	 2.169 	 -0.354 
576 	 896 	 2.116 	 -0.831 
640 	 896 	 1.976 	 -1.201 
704 	 896 	 1.650 	 -1.655 
768 	 896 	 1.718 	 -2.039 
832 	 896 	 1.876 	 -2.446 
896 	 896 	 1.575 	 -2.809 

